▶  evidence path override: experiments/results/ramp-hybrid-001-evidence.jsonl
▶  config loaded: service=frontend namespace=default
▶  model registry loaded: phase3_20260709T001052Z_model_registry.yaml → holt_winters for frontend
▶  starting control loop (tick=15s, horizon=30s, forecaster=holt_winters)
2026-07-10T01:46:53Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=1 to=3
2026-07-10T01:57:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.395 sigma=0.037
2026-07-10T01:57:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.426 sigma=0.036
2026-07-10T01:57:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.446 sigma=0.035
2026-07-10T01:58:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.405 sigma=0.037
2026-07-10T01:58:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.382 sigma=0.037
2026-07-10T01:58:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.379 sigma=0.037
2026-07-10T01:58:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.378 sigma=0.037
2026-07-10T01:59:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.371 sigma=0.039
2026-07-10T01:59:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.394 sigma=0.037
2026-07-10T01:59:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.408 sigma=0.037
2026-07-10T01:59:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.394 sigma=0.037
2026-07-10T02:00:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.403 sigma=0.037
2026-07-10T02:00:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.395 sigma=0.035
2026-07-10T02:00:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.365 sigma=0.035
2026-07-10T02:00:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.382 sigma=0.035
2026-07-10T02:01:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.440 sigma=0.037
2026-07-10T02:01:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.554 sigma=0.040
2026-07-10T02:01:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.540 sigma=0.043
2026-07-10T02:01:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.629 sigma=0.043
2026-07-10T02:02:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.591 sigma=0.044
2026-07-10T02:02:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.567 sigma=0.043
2026-07-10T02:02:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.522 sigma=0.044
2026-07-10T02:02:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.441 sigma=0.046
2026-07-10T02:03:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.381 sigma=0.046
2026-07-10T02:03:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.337 sigma=0.046
2026-07-10T02:03:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.435 sigma=0.048
2026-07-10T02:03:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.429 sigma=0.047
2026-07-10T02:04:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.412 sigma=0.048
2026-07-10T02:04:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.389 sigma=0.047
2026-07-10T02:04:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.406 sigma=0.046
2026-07-10T02:04:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.385 sigma=0.047
2026-07-10T02:05:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.388 sigma=0.045
2026-07-10T02:05:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.356 sigma=0.045
2026-07-10T02:05:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.339 sigma=0.044
2026-07-10T02:05:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.357 sigma=0.043
2026-07-10T02:06:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.337 sigma=0.043
2026-07-10T02:06:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.339 sigma=0.043
2026-07-10T02:06:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.393 sigma=0.043
2026-07-10T02:06:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.487 sigma=0.045
2026-07-10T02:07:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.519 sigma=0.045
2026-07-10T02:07:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.470 sigma=0.045
2026-07-10T02:07:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.433 sigma=0.045
2026-07-10T02:07:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.529 sigma=0.047
2026-07-10T02:08:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.589 sigma=0.046
2026-07-10T02:08:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.597 sigma=0.046
2026-07-10T02:08:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.608 sigma=0.046
2026-07-10T02:08:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.590 sigma=0.046
2026-07-10T02:09:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.588 sigma=0.046
2026-07-10T02:09:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.506 sigma=0.047
2026-07-10T02:09:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.481 sigma=0.047
2026-07-10T02:09:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.537 sigma=0.046
2026-07-10T02:10:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.576 sigma=0.046
2026-07-10T02:10:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.533 sigma=0.047
2026-07-10T02:10:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.542 sigma=0.045
2026-07-10T02:10:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.486 sigma=0.044
2026-07-10T02:11:08Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.472 sigma=0.044
2026-07-10T02:11:23Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.454 sigma=0.039
2026-07-10T02:11:38Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.418 sigma=0.040
2026-07-10T02:11:53Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.372 sigma=0.037
2026-07-10T02:11:58Z INFO controller.loop: received signal 15 — stopping after current tick
✅  stopped after 101 tick(s). Evidence: experiments/results/ramp-hybrid-001-evidence.jsonl
