▶  evidence path override: experiments/results/trace_replay-hybrid-008-evidence.jsonl
▶  config loaded: service=frontend namespace=default
▶  model registry loaded: phase3_20260709T001052Z_model_registry.yaml → holt_winters for frontend
▶  starting control loop (tick=15s, horizon=30s, forecaster=holt_winters)
2026-07-10T04:57:56Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=1 to=3
2026-07-10T05:08:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.450 sigma=0.035
2026-07-10T05:08:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.423 sigma=0.035
2026-07-10T05:08:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.449 sigma=0.032
2026-07-10T05:09:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.480 sigma=0.032
2026-07-10T05:09:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.486 sigma=0.032
2026-07-10T05:09:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.503 sigma=0.033
2026-07-10T05:09:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.499 sigma=0.028
2026-07-10T05:10:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.432 sigma=0.029
2026-07-10T05:10:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.461 sigma=0.028
2026-07-10T05:10:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.484 sigma=0.028
2026-07-10T05:10:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.419 sigma=0.030
2026-07-10T05:11:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.394 sigma=0.029
2026-07-10T05:11:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.417 sigma=0.029
2026-07-10T05:11:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.370 sigma=0.030
2026-07-10T05:11:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.328 sigma=0.030
2026-07-10T05:12:10Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=8 to=6
2026-07-10T05:12:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→6 forecast=0.244 sigma=0.031
2026-07-10T05:12:25Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=6 to=7
2026-07-10T05:12:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 6→7 forecast=0.298 sigma=0.030
2026-07-10T05:12:40Z INFO controller.k8s_actuator: scaled deployment=frontend ns=default from=7 to=8
2026-07-10T05:12:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 7→8 forecast=0.332 sigma=0.030
2026-07-10T05:12:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.385 sigma=0.031
2026-07-10T05:13:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.412 sigma=0.031
2026-07-10T05:13:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.375 sigma=0.032
2026-07-10T05:13:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.397 sigma=0.030
2026-07-10T05:13:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.383 sigma=0.030
2026-07-10T05:14:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.371 sigma=0.029
2026-07-10T05:14:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.376 sigma=0.030
2026-07-10T05:14:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.437 sigma=0.030
2026-07-10T05:14:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.430 sigma=0.031
2026-07-10T05:15:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.363 sigma=0.033
2026-07-10T05:15:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.370 sigma=0.032
2026-07-10T05:15:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.406 sigma=0.031
2026-07-10T05:15:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.407 sigma=0.031
2026-07-10T05:16:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.342 sigma=0.033
2026-07-10T05:16:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.341 sigma=0.033
2026-07-10T05:16:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.380 sigma=0.031
2026-07-10T05:16:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.343 sigma=0.031
2026-07-10T05:17:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.367 sigma=0.030
2026-07-10T05:17:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.420 sigma=0.030
2026-07-10T05:17:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.392 sigma=0.030
2026-07-10T05:17:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.370 sigma=0.030
2026-07-10T05:18:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.399 sigma=0.029
2026-07-10T05:18:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.377 sigma=0.029
2026-07-10T05:18:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.321 sigma=0.032
2026-07-10T05:18:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.355 sigma=0.030
2026-07-10T05:19:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.380 sigma=0.028
2026-07-10T05:19:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.373 sigma=0.028
2026-07-10T05:19:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.410 sigma=0.029
2026-07-10T05:19:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.406 sigma=0.029
2026-07-10T05:20:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.426 sigma=0.029
2026-07-10T05:20:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.450 sigma=0.030
2026-07-10T05:20:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.455 sigma=0.030
2026-07-10T05:20:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.484 sigma=0.030
2026-07-10T05:21:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.474 sigma=0.030
2026-07-10T05:21:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.505 sigma=0.030
2026-07-10T05:21:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.429 sigma=0.031
2026-07-10T05:21:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.455 sigma=0.029
2026-07-10T05:22:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.457 sigma=0.027
2026-07-10T05:22:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.407 sigma=0.029
2026-07-10T05:22:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.395 sigma=0.029
2026-07-10T05:22:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.372 sigma=0.030
2026-07-10T05:23:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.353 sigma=0.030
2026-07-10T05:23:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.356 sigma=0.029
2026-07-10T05:23:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.372 sigma=0.029
2026-07-10T05:23:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.386 sigma=0.029
2026-07-10T05:24:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.388 sigma=0.028
2026-07-10T05:24:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.396 sigma=0.028
2026-07-10T05:24:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.374 sigma=0.028
2026-07-10T05:24:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.318 sigma=0.030
2026-07-10T05:25:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.343 sigma=0.029
2026-07-10T05:25:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.374 sigma=0.029
2026-07-10T05:25:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.343 sigma=0.030
2026-07-10T05:25:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.355 sigma=0.030
2026-07-10T05:26:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.357 sigma=0.028
2026-07-10T05:26:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.376 sigma=0.028
2026-07-10T05:26:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.357 sigma=0.028
2026-07-10T05:26:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.352 sigma=0.028
2026-07-10T05:27:10Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.338 sigma=0.028
2026-07-10T05:27:25Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.350 sigma=0.028
2026-07-10T05:27:40Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.365 sigma=0.028
2026-07-10T05:27:55Z INFO controller.loop: tick service=frontend state=NOMINAL replicas 8→8 forecast=0.408 sigma=0.028
2026-07-10T05:28:08Z INFO controller.loop: received signal 15 — stopping after current tick
✅  stopped after 121 tick(s). Evidence: experiments/results/trace_replay-hybrid-008-evidence.jsonl
