name,mean_rmse,mean_mae,mean_pinball_q70,inference_p95_seconds,n_parameters,failed_folds,fold_rmses,fold_maes,service
holt_winters,0.009300435101516362,0.0047288149912039805,0.0023650763935212527,0.049465416801103855,10,0,"[0.006061468215318047, 0.012759101582210854, 0.011507053691653772, 0.009121883600151225, 0.007052668418247912]","[0.0032674342754863374, 0.005388407198957862, 0.005816196628744033, 0.005093471184854027, 0.004078565667977643]",adservice
xgboost,0.010551869498565255,0.005750616766119697,0.0031157159921818274,0.0027059579995693636,3200,0,"[0.00807945755783914, 0.016356236545189032, 0.012095171770411544, 0.00945368609045412, 0.006774795528932445]","[0.005448237973210663, 0.0063796372874667445, 0.006624106063847302, 0.006071675825506428, 0.004229426680567342]",adservice
seasonal_naive,0.014336294185095,0.007282983796584218,0.0036391186480998717,0.0001863498007878661,0,0,"[0.010914713511623524, 0.021117727798824416, 0.0166951155519815, 0.013206476831626877, 0.009747437231418694]","[0.005617083150350423, 0.008735156043919072, 0.008889316817888519, 0.007534052853322426, 0.005639310117440648]",adservice
sarima,0.02821797448607504,0.019775822854704354,0.010393954741157795,0.0008521586016286163,6,0,"[0.020253930660506285, 0.03578339440742167, 0.04008834318134392, 0.028343559319254547, 0.016620644861848798]","[0.014808409220121714, 0.017090788821265336, 0.03690742137811925, 0.01930010112724087, 0.010772393726774597]",adservice
holt_winters,0.0051928455383664805,0.0029931035249065934,0.0014960485584099644,0.04173363399895606,10,0,"[0.00505155670387575, 0.0056226757916552515, 0.005130933727717269, 0.005562159163628882, 0.004596902304955253]","[0.002773179780722363, 0.00309224530102487, 0.0031600329920234383, 0.0031551994414728006, 0.002784860109289496]",cartservice
xgboost,0.005289533471484224,0.003287830825343932,0.0017256234786424678,0.0027114914002595468,1600,0,"[0.005238929888394543, 0.006290034598944038, 0.005205121943843436, 0.0052556749378818175, 0.00445790598835729]","[0.0031590753164043527, 0.003845794797161165, 0.003377714229321396, 0.0032238666814362648, 0.002832703102396484]",cartservice
seasonal_naive,0.007076783555073575,0.004263355174491823,0.002132656257365651,0.00018972440157085657,0,0,"[0.006169051519863295, 0.007755398980865892, 0.007703029313838571, 0.007598729911423297, 0.0061577080493768225]","[0.003730427758255996, 0.004493438822647743, 0.004719998074546585, 0.00441598888498106, 0.003956922332027735]",cartservice
sarima,0.013646202534084837,0.010209440682211045,0.004450200426967083,0.0008757421994232571,4,0,"[0.009495602361015544, 0.013900821552362174, 0.026250508473310123, 0.010450371075946041, 0.008133709207790305]","[0.0057614561645582115, 0.008530940295974076, 0.0243265479877716, 0.006875754081340365, 0.00555250488141097]",cartservice
holt_winters,0.0002397749130226672,0.00015961143815475517,7.958877825808665e-05,0.027917382805026137,10,0,"[0.00020814236668367504, 0.00018185664415575973, 0.00013602360807061828, 0.00028532296275874866, 0.0003875289834445344]","[0.0001425887330397969, 0.00011361062121229291, 0.00010137779055378171, 0.00019184860300316977, 0.00024863144296473447]",checkoutservice
xgboost,0.00024259941926655314,0.00014863043887967334,8.372768139855743e-05,0.0027012670019757935,800,0,"[0.0001697664060823936, 0.00015295494169244607, 0.00011674423219646168, 0.00029907909184963705, 0.00047445242451182743]","[0.00010608992754333869, 9.94310982989295e-05, 8.337244181030794e-05, 0.00017259798638488095, 0.0002816607403609096]",checkoutservice
seasonal_naive,0.00026901803639667646,0.0001630914402007899,8.150697703801626e-05,0.0001717829974950291,0,0,"[0.00023788434606891308, 0.0001918425068779308, 0.00015947909977310983, 0.00029936792634277254, 0.00045651630292065613]","[0.00014240471286561325, 0.00011996716579973685, 0.00010656607698808883, 0.00018026727499486503, 0.0002662519703556456]",checkoutservice
