name,mean_rmse,mean_mae,mean_pinball_q70,inference_p95_seconds,n_parameters,failed_folds,fold_rmses,fold_maes,service
holt_winters,0.003348477702188918,0.001939348963176037,0.0009679601207910084,0.11149627960112411,10,0,"[0.003910336258161301, 0.0029196576368815943, 0.003201908578756852, 0.0032236917911468406, 0.003486794245998]","[0.0023697760349229028, 0.001865413788177612, 0.0019196830176973871, 0.0019438575243028167, 0.001598014450779466]",adservice
lstm,0.0042074420404445275,0.0028515730674751197,0.0012221742413374582,0.0016329993930412456,199297,0,"[0.0036815474709847684, 0.002770164913434597, 0.002908487303651634, 0.002812513213921397, 0.008864497300230242]","[0.0024921246814101562, 0.0018499549166879792, 0.0018963678653029531, 0.0017686410310968604, 0.006250776842877648]",adservice
xgboost,0.004416080989627408,0.003008203257583793,0.0013646395193087255,0.006067564393742941,3200,0,"[0.003535572410667423, 0.002833767698391243, 0.003099053251444204, 0.0029457653480106103, 0.009666246239623562]","[0.0024823448380200935, 0.001992700767493093, 0.001966730327299445, 0.0018542095193692565, 0.006745030835737076]",adservice
seasonal_naive,0.0044416750654579645,0.0026728164494219846,0.0013330238907989967,0.0003595118003431707,0,0,"[0.005337024255501437, 0.0037710202264378706, 0.004152463688654019, 0.004208814393647251, 0.004739052763049246]","[0.0033402888488066242, 0.002481748818876623, 0.002607187473209578, 0.0026929334068312703, 0.0022419236993858277]",adservice
holt_winters,0.013735820479316544,0.008883444692805198,0.004430226666700078,0.11540879199164919,10,0,"[0.015823896350217276, 0.01248620242996814, 0.012860725991207645, 0.014091103377850156, 0.013417174247339505]","[0.011225018797364178, 0.008539379918421335, 0.008247367894025448, 0.00914741924182979, 0.007258037612385238]",cartservice
lstm,0.015885400398595956,0.011362308479577369,0.00500299526206361,0.001594596603536047,199297,0,"[0.014658901274259657, 0.011591166571857589, 0.01234623444107897, 0.012372601104340046, 0.02845809860144352]","[0.010623283142266099, 0.008259148454474908, 0.00828075301034685, 0.008281294657188345, 0.021367063133610642]",cartservice
xgboost,0.01733512734216044,0.01240693748907179,0.005528196723642874,0.005910426800255664,1600,0,"[0.01490172812846102, 0.011993469498840158, 0.012230658181020643, 0.012626787583759298, 0.03492299331872109]","[0.010817938762587732, 0.008480385364806319, 0.008214064737168899, 0.00878125681334099, 0.02574104176745501]",cartservice
seasonal_naive,0.018320639352949974,0.012212341151130459,0.006085383755041638,0.0003747142007341608,0,0,"[0.02069856387304302, 0.01641636134652823, 0.016960299349615137, 0.018921475783310774, 0.018606496412252715]","[0.01511922017241578, 0.011550303706902246, 0.011243821646212179, 0.012872692769891041, 0.010275667460231041]",cartservice
holt_winters,0.004343027192506042,0.002773279152336894,0.001384784809107294,0.08787681279936806,10,0,"[0.004915052827163508, 0.0038918312280815347, 0.004473101052003418, 0.004186698770746449, 0.004248452084535298]","[0.003302292370107603, 0.0025398609457679988, 0.0028588734557029164, 0.002826296751118616, 0.0023390722389873366]",checkoutservice
xgboost,0.005471742586692606,0.003880698670231549,0.0017944324526809863,0.006490287004271522,800,0,"[0.004675054878936542, 0.003820142225328415, 0.004439661935667529, 0.003984880331003043, 0.010438973562527503]","[0.0033438551027704035, 0.002600982074798147, 0.0029698977825809545, 0.002776063494658576, 0.007712694896349666]",checkoutservice
