Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,63021,32280,30,1372.5104559697243,0.9604369988664985,15142.488495010184,7749.4991193411715,42.00784740144195,21.51684857616582,30,540,1400,2200,4200,7900,12000,13000,15000,15000,15000
GET,/cart,23800,11809,22,681.5461571778894,0.9282789833378047,11640.176535001956,7104.371092436975,15.864343126169349,7.871513780543438,22,510,800,1000,2100,3500,5000,6200,8900,11000,12000
POST,/cart [add],15726,7795,51,799.5948092701716,3.1726709858048707,10782.556980993832,11049.074144728474,10.482464705972234,5.195905658339918,51,660,1000,1300,2500,3800,5600,6700,9500,11000,11000
POST,/cart/checkout,15725,8522,18,695.8244680129761,2.2473459830507636,10891.686774994014,5506.771192368839,10.48179813693332,5.68050134963089,18,500,890,1100,2200,3600,5200,6300,8600,9900,11000
GET,/product/[id],47544,23623,17,502.9568808868121,1.3068480184301734,5341.7005380033515,6202.634612148747,31.691358386159475,15.74636040628145,17,440,670,830,1600,2400,3400,3800,4900,5200,5300
POST,/setCurrency,7962,4044,54,1386.0685521221242,2.045692002866417,14964.103356993292,7773.708113539312,5.30722268783867,2.6956051933709597,54,560,1300,2100,4200,8100,12000,13000,14000,15000,15000
,Aggregated,173778,88073,23,927.5196369705387,0.9282789833378047,15142.488495010184,7334.698621229385,115.835034444515,58.706734964332476,23,500,890,1200,2800,4400,8100,12000,14000,15000,15000
