Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,23829,5,2800,3330.511900082769,10.718027013354003,135106.5066580195,10509.794578035167,13.236656243675307,0.0027774258768045886,2800,3400,4100,4500,5500,6200,6800,7200,8100,135000,135000
GET,/cart,9021,0,1300,1583.8870061392079,7.508662005420774,5852.773801976582,6876.77940361379,5.011031766930839,0.0,1300,1700,2000,2300,3000,3600,4100,4400,5300,5900,5900
POST,/cart [add],6022,0,1900,2306.330531689832,56.798931007506326,8472.68000600161,16454.131351710395,3.3451317260234466,0.0,1900,2400,2900,3300,4500,5100,5600,6100,6800,8500,8500
POST,/cart/checkout,5957,0,1300,1542.9351573860624,18.718712002737448,5395.0997999927495,6806.028873594091,3.309025189624987,0.0,1300,1700,1900,2200,2900,3400,4000,4400,5300,5400,5400
GET,/product/[id],18139,3,1400,1693.8334109481514,8.877054002368823,135107.56714700256,7916.282430122939,10.075945595871687,0.0016664555260827532,1400,1800,2100,2400,3200,3700,4200,4500,5400,135000,135000
POST,/setCurrency,3042,2,2900,3473.39555687469,58.987238007830456,135101.7293999903,10511.084812623274,1.6897859034479117,0.0011109703507218354,2900,3500,4200,4600,5700,6500,7200,7600,9100,135000,135000
,Aggregated,66010,10,2100,2393.9026430698286,7.508662005420774,135107.56714700256,9508.737797303438,36.667576425574175,0.005554851753609177,2100,2600,3000,3300,4400,5400,6300,6700,7900,135000,135000
