Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,11347,3424,77,1570.2728083514146,1.1140690185129642,15368.189961009193,8883.212479069358,15.749080733549615,4.752344446256622,77,160,360,3100,6100,10000,12000,13000,14000,15000,15000
GET,/cart,4336,1208,49,627.5538916321132,1.1124759912490845,7642.659067001659,6767.137453874539,6.018155817455815,1.6766448864129668,49,110,260,1200,2400,3900,4500,4900,6700,7600,7600
POST,/cart [add],2868,784,92,826.9120107998917,4.470857995329425,9035.437866987195,13322.872384937238,3.980643654165885,1.0881536348905347,92,180,650,1700,3200,4700,5400,6200,7500,9000,9000
POST,/cart/checkout,2860,793,89,760.821045002988,2.893089986173436,9569.17895298102,6195.815734265734,3.969540045646594,1.1006451944747373,89,130,370,1500,3000,4400,5300,6000,9400,9600,9600
GET,/product/[id],8719,2462,53,596.377859957455,1.3898549950681627,5703.503160009859,7044.635967427457,12.101545334962465,3.417135521811858,53,130,460,1200,2300,3200,4400,4700,5400,5700,5700
POST,/setCurrency,1360,407,100,1485.8645405200257,2.627331006806344,15013.167396973586,8900.282352941176,1.887613448279499,0.5648960834189384,100,190,460,2200,5900,7600,12000,13000,15000,15000,15000
,Aggregated,31490,9078,69,1025.947456406453,1.1124759912490845,15368.189961009193,8243.782661162273,43.70657903405987,12.599819767265657,69,150,400,1300,4100,5900,10000,12000,14000,15000,15000
