Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,64096,34853,8,1363.9023684632218,0.9653329907450825,16188.45744500868,7574.3963273839245,42.72069915811202,23.229913376149497,8,380,1000,2000,4600,8000,13000,14000,16000,16000,16000
GET,/cart,23805,12492,9,593.4894594731214,0.9611870045773685,12099.20640400378,6280.00663726108,15.866298106884308,8.326057380852712,9,400,700,870,1600,3100,5000,6400,9600,12000,12000
POST,/cart [add],16016,8537,20,731.2637769217214,3.312627988634631,13737.90501698386,10334.867694805194,10.674842700267133,5.690005752508773,20,560,930,1200,2000,3600,5800,7000,10000,13000,14000
POST,/cart/checkout,16010,8645,40,725.7132839778477,2.1997919830027968,11558.893766981782,5593.902248594628,10.670843633321478,5.761988957530554,40,590,980,1200,2000,3400,5600,6900,9000,11000,12000
GET,/product/[id],47701,25213,9,478.0543552857186,1.332966989139095,5812.38633900648,6195.053353179179,31.793248729111042,16.8047458167979,9,390,690,860,1500,2300,3400,4100,4900,5500,5800
POST,/setCurrency,7971,4358,14,1318.5989042415654,2.052630006801337,16093.475528003182,7559.080792874169,5.31276043730203,2.9046556248604,14,370,1000,1900,4500,7600,12000,13000,16000,16000,16000
,Aggregated,175599,94098,12,900.8793659794711,0.9611870045773685,16188.45744500868,7094.740596472645,117.03869276499802,62.71736690869984,12,410,810,1100,2800,4600,8400,12000,15000,16000,16000
