Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,40372,0,2400,2951.5568206425805,9.319972014054656,11599.84153698315,10516.06100762905,26.91232124242997,0.0,2400,3300,4000,4700,6400,7200,8000,8500,10000,11000,12000
GET,/cart,15219,0,1700,1973.5154671984021,9.03626301442273,7042.80179401394,6745.691372626322,10.145115847333344,0.0,1700,2500,3000,3200,3900,4500,5000,5400,6400,6800,7000
POST,/cart [add],10078,0,2500,2818.20245381059,16.38725900556892,10831.098568014568,16319.194185354238,6.7180811820372845,0.0,2500,3500,4100,4500,5800,6600,7400,7900,9900,11000,11000
POST,/cart/checkout,10066,0,1500,1813.079968754735,14.84555599745363,7498.685358004877,6661.863898271408,6.710081879181118,0.0,1500,2300,2700,3000,3700,4400,5200,5500,6400,6800,7500
GET,/product/[id],30452,0,1900,2088.0376603938575,8.53847898542881,8717.325545992935,7771.227439905425,20.299564214665548,0.0,1900,2700,3100,3400,4100,4700,5300,5800,6900,8000,8700
POST,/setCurrency,4950,0,2600,3241.741625245181,10.41660999180749,11955.178198986687,10518.0,3.2997124281687396,0.0,2600,3600,4400,5500,7100,8000,8900,9500,11000,12000,12000
,Aggregated,111137,0,2100,2478.733770324402,8.53847898542881,11955.178198986687,9424.887940109955,74.08487679381601,0.0,2100,2900,3500,3800,5100,6400,7400,8000,9700,11000,12000
