Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8775,0,180,2411.276222886903,8.89141601510346,11159.920278005302,10512.301082621083,12.18259843364112,0.0,180,4100,5900,6300,7200,7900,8700,9100,11000,11000,11000
GET,/cart,3250,0,120,1425.2517352546445,6.6241710155736655,7049.885151995113,6876.925538461538,4.5120734939411555,0.0,120,2100,3400,3700,4400,4900,5300,5500,6400,7000,7000
POST,/cart [add],2246,0,170,2031.1543290626666,10.996869998052716,10439.679939008784,16454.87177203918,3.1181898668897956,0.0,170,860,5100,5600,6400,6900,7700,8200,9300,10000,10000
POST,/cart/checkout,2230,0,110,1292.2597276323934,12.884896015748382,6696.275163005339,6805.92062780269,3.095976581996547,0.0,110,250,3100,3400,4200,4700,5200,5700,6500,6700,6700
GET,/product/[id],6553,0,130,1502.451555299486,7.837677985662594,7893.778580008075,7914.5664581107885,9.097728494091198,0.0,130,2400,3500,3800,4600,5100,5600,6000,6800,7900,7900
POST,/setCurrency,1020,0,190,2485.0548151050184,12.239781994139776,11628.11062700348,10518.0,1.416096911944609,0.0,190,1600,6100,6700,7700,8500,9100,9600,11000,12000,12000
,Aggregated,24074,0,150,1894.7848203202539,6.6241710155736655,11628.11062700348,9525.745991526128,33.42266378250443,0.0,150,2300,4000,4700,6200,7100,8000,8600,10000,11000,12000
