Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,42055,0,2800,2919.9026264593826,6.664012995315716,10970.917096012272,10513.075187254786,23.351111911014577,0.0,2800,3700,4200,4500,5400,6200,7000,7500,9000,10000,11000
GET,/cart,15621,0,1900,1953.014711534587,8.066567999776453,7128.678308014059,6749.523397989886,8.673587425085215,0.0,1900,2600,3000,3200,3700,4100,4700,5100,6100,6700,7100
POST,/cart [add],10515,0,2700,2799.0088238394023,13.624182989588007,10305.645369982813,16323.361293390395,5.838472042428208,0.0,2700,3700,4100,4400,5100,5700,6500,7200,8700,9200,10000
POST,/cart/checkout,10455,0,1700,1808.7922087031698,10.450820991536602,6221.962117007934,6662.363462458154,5.805156938049159,0.0,1700,2400,2700,2900,3400,3900,4600,5000,5900,6100,6200
GET,/product/[id],31550,0,2100,2075.0328224622003,6.195827998453751,7867.183225986082,7771.8949603803485,17.51819238598288,0.0,2100,2800,3100,3300,3800,4300,4900,5300,6500,7100,7900
POST,/setCurrency,5290,0,3000,3109.793397592612,15.871882002102211,11016.363959002774,10518.0,2.937281702752755,0.0,3000,3800,4400,4800,5900,6700,7600,8200,9500,11000,11000
,Aggregated,115486,0,2300,2455.407068486568,6.195827998453751,11016.363959002774,9435.778726425713,64.12380240531279,0.0,2300,3100,3500,3800,4700,5500,6400,7000,8700,9800,11000
