Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/setCurrency,"ConnectionResetError(104, 'Connection reset by peer')",2,2026-07-10T14:03:24Z,2026-07-10T14:03:24Z
GET,/product/[id],"ConnectionResetError(104, 'Connection reset by peer')",3,2026-07-10T14:03:24Z,2026-07-10T14:03:24Z
GET,/,"ConnectionResetError(104, 'Connection reset by peer')",5,2026-07-10T14:03:24Z,2026-07-10T14:03:24Z
