Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8724,0,180,2481.014000042093,8.38122799177654,12579.285040003015,10512.402796882165,12.113474214086605,0.0,180,3900,6100,6600,7500,8200,8900,9500,11000,13000,13000
GET,/cart,3347,0,120,1395.6612322692333,7.835694996174425,6983.744201017544,6876.547057066029,4.647386312992649,0.0,120,2000,3300,3600,4400,4800,5300,5600,6200,7000,7000
POST,/cart [add],2160,0,170,1991.406936250706,13.000946986721829,9555.641985993134,16453.77824074074,2.9992095715757756,0.0,170,2300,4800,5300,6200,6800,7500,7800,9200,9600,9600
POST,/cart/checkout,2145,0,110,1300.2489033878644,10.216222988674417,6001.982351997867,6805.3216783216785,2.978381727328722,0.0,110,1300,3100,3400,4100,4500,4900,5200,5700,6000,6000
GET,/product/[id],6517,0,130,1427.9430740284374,8.393007010454312,7443.305716995383,7920.3940463403405,9.04900406387006,0.0,130,1200,3400,3800,4500,5000,5600,5800,6600,7400,7400
POST,/setCurrency,1098,0,190,2697.908443062485,11.985688004642725,12948.46048601903,10518.0,1.5245981988843527,0.0,190,4300,6700,7100,8100,8800,9900,10000,12000,13000,13000
,Aggregated,23991,0,150,1903.8108309268841,7.835694996174425,12948.46048601903,9504.795673377517,33.312054088738165,0.0,150,2100,3900,4600,6400,7400,8300,8900,11000,12000,13000
