Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/,RemoteDisconnected('Remote end closed connection without response'),11,2026-07-10T06:29:14Z,2026-07-10T06:40:29Z
GET,/product/[id],RemoteDisconnected('Remote end closed connection without response'),3,2026-07-10T06:32:44Z,2026-07-10T06:40:29Z
POST,/cart [add],HTTPError('500 Server Error: Internal Server Error for url: /cart [add]'),4311,2026-07-10T06:39:24Z,2026-07-10T06:44:46Z
GET,/,"ConnectionResetError(104, 'Connection reset by peer')",1,2026-07-10T06:31:17Z,2026-07-10T06:31:17Z
POST,/cart [add],"ConnectionResetError(104, 'Connection reset by peer')",1,2026-07-10T06:31:12Z,2026-07-10T06:31:12Z
POST,/cart [add],RemoteDisconnected('Remote end closed connection without response'),5,2026-07-10T06:40:29Z,2026-07-10T06:40:29Z
POST,/setCurrency,HTTPError('500 Server Error: Internal Server Error for url: /setCurrency'),2270,2026-07-10T06:39:24Z,2026-07-10T06:44:46Z
GET,/,HTTPError('500 Server Error: Internal Server Error for url: /'),18168,2026-07-10T06:39:24Z,2026-07-10T06:44:46Z
GET,/cart,HTTPError('500 Server Error: Internal Server Error for url: /cart'),6494,2026-07-10T06:39:24Z,2026-07-10T06:44:46Z
GET,/cart,RemoteDisconnected('Remote end closed connection without response'),1,2026-07-10T06:40:29Z,2026-07-10T06:40:29Z
POST,/cart/checkout,HTTPError('500 Server Error: Internal Server Error for url: /cart/checkout'),4328,2026-07-10T06:39:24Z,2026-07-10T06:44:46Z
GET,/product/[id],HTTPError('500 Server Error: Internal Server Error for url: /product/[id]'),12886,2026-07-10T06:39:24Z,2026-07-10T06:44:46Z
