Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,40341,17,3000,3125.1770360843298,6.948598980670795,133964.19492398854,10508.45224461466,22.4074003358312,0.009442646580628402,3000,3800,4300,4600,5500,6400,7200,7800,9500,134000,134000
GET,/cart,15059,7,2000,2080.6305576542763,8.108467009151354,133964.4603349734,6740.742147552958,8.364518521040184,0.00388814859202346,2000,2700,3000,3200,3700,4100,4500,4900,5900,134000,134000
POST,/cart [add],10168,5,3000,3010.7648341014433,8.942003012634814,133963.6914860166,16321.26435877262,5.6478135548135056,0.0027772489943024715,3000,3800,4300,4500,5200,5900,6700,7400,9100,134000,134000
POST,/cart/checkout,10116,0,1800,1920.1040304775975,9.76144801825285,7297.1052339999005,6680.940193752472,5.61893016527276,0.0,1800,2500,2800,3100,3500,4100,4800,5300,6600,7000,7300
GET,/product/[id],30511,12,2200,2210.772025271519,6.037035986082628,133975.9837090096,7765.487234112287,16.94732881303254,0.006665397586325931,2200,2800,3200,3400,3900,4300,4800,5300,7000,134000,134000
POST,/setCurrency,5028,1,3100,3274.415685743539,10.29492198722437,133925.05646299105,10515.908114558473,2.792801588670565,0.0005554497988604943,3100,4000,4500,4900,6000,6900,7900,8500,10000,134000,134000
,Aggregated,111223,42,2500,2619.591621488574,6.037035986082628,133975.9837090096,9429.489242332971,61.77879297866075,0.023328891552140758,2500,3200,3600,3900,4800,5600,6600,7300,9200,134000,134000
