Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9627,0,120,2341.9481746821566,7.952718995511532,8793.074746994535,10512.31203905682,13.365717814167919,0.0,120,4300,5700,6100,6700,7300,7900,8100,8500,8800,8800
GET,/cart,3737,0,91,912.5202803135959,7.165383023675531,4487.883061025059,6603.960663633931,5.188292040256104,0.0,91,1300,1700,2000,2800,3400,3700,3900,4300,4500,4500
POST,/cart [add],2356,0,130,1189.821173182069,11.208150972379372,4982.286345999455,16170.969015280136,3.270970309564726,0.0,130,2000,2500,2700,3400,3900,4300,4600,4900,5000,5000
POST,/cart/checkout,2347,0,100,1160.919695822266,12.179104989627376,5099.790636013495,6485.5952279505755,3.258475091913587,0.0,100,1900,2400,2700,3400,3900,4300,4500,4900,5100,5100
GET,/product/[id],7416,0,94,895.5440844859672,6.443465012125671,4346.678004018031,7681.649946062567,10.296059344538204,0.0,94,1300,1800,2000,2700,3400,3700,3900,4100,4300,4300
POST,/setCurrency,1219,0,130,2184.2225630494036,9.47971799178049,8599.29265800747,10518.0,1.6924078129708833,0.0,130,3800,5600,5900,6500,7000,7700,7900,8400,8600,8600
,Aggregated,26702,0,110,1527.520141195938,6.443465012125671,8793.074746994535,9324.772751104787,37.07192241341142,0.0,110,1600,2500,3200,5700,6500,7200,7700,8400,8700,8800
