Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,39376,0,2500,3064.228303141167,8.885396993719041,11476.857005996862,10515.88541243397,26.243759114129524,0.0,2500,3400,4200,5000,6600,7500,8300,8800,10000,11000,11000
GET,/cart,14834,0,1900,2056.1716998688357,6.280872999923304,7157.657005998772,6789.905622219226,9.886731072201274,0.0,1900,2700,3100,3300,4000,4600,5100,5500,6600,7000,7200
POST,/cart [add],9860,0,2700,2933.2113568085406,10.09098402573727,9731.031575996894,16364.931947261663,6.57160363839184,0.0,2700,3700,4400,4700,5700,6500,7200,7800,8900,9700,9700
POST,/cart/checkout,9851,0,1800,1980.5878971598863,12.876119988504797,7492.773132020375,6713.871789666024,6.565605217220894,0.0,1800,2500,2900,3200,3900,4600,5200,5600,6700,7500,7500
GET,/product/[id],29418,0,2000,2188.902990736915,7.677227986278012,7546.956509992015,7809.922224488409,19.606839334098495,0.0,2000,2800,3200,3500,4200,4700,5300,5700,6600,7300,7500
POST,/setCurrency,4906,0,2700,3288.0849926552255,8.770994987571612,12352.671519998694,10517.983693436609,3.2698060294067313,0.0,2700,3600,4500,5400,7100,8000,9000,9700,11000,12000,12000
,Aggregated,108245,0,2300,2587.7872711798464,6.280872999923304,12352.671519998694,9456.742242135895,72.14434440544876,0.0,2300,3000,3600,3900,5200,6500,7600,8200,10000,11000,12000
