Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,49425,1,3200,3008.1542388425833,4.112282011192292,9354.922106023878,10513.414850784016,27.450547261183715,0.0005553980224822199,3200,4200,4600,4900,5500,6500,7200,7600,8500,8900,9400
GET,/cart,18734,0,720,877.5210861130333,3.079499991144985,5754.32115100557,5735.809384007686,10.404826553181907,0.0,720,970,1100,1300,1800,2500,3100,3700,5600,5700,5800
POST,/cart [add],12314,0,1100,1226.133968791156,6.124125997303054,5872.0166770217475,15301.933977586486,6.839171248846055,0.0,1100,1400,1600,1800,2400,3100,3800,4400,5600,5800,5900
POST,/cart/checkout,12270,0,1100,1154.6703088377947,6.481404998339713,5714.233820996014,5635.8942950285245,6.814733735856837,0.0,1100,1400,1600,1700,2200,2800,3300,3600,5600,5700,5700
GET,/product/[id],37307,0,740,877.835547780191,3.7593480083160102,5732.048630015925,6804.785804272657,20.720234024744176,0.0,740,980,1100,1300,1800,2300,3000,3700,5600,5700,5700
POST,/setCurrency,6235,0,3200,3012.2068382364405,11.31564300158061,8948.468349990435,10518.0,3.4629066701766407,0.0,3200,4200,4600,4800,5500,6500,7200,7600,8500,8900,8900
,Aggregated,136285,1,1100,1804.4131201571024,3.079499991144985,9354.922106023878,8835.209260006604,75.69241949398933,0.0005553980224822199,1100,1900,2800,3400,4700,5300,6600,7100,8300,8800,9400
