Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,11381,3400,76,1597.324448068319,0.9128040110226721,14564.247697999235,8899.217731306564,15.796071393373806,4.71897396867331,76,160,360,3500,6600,9700,12000,13000,14000,15000,15000
GET,/cart,4227,1115,47,618.096404500715,1.1686490033753216,9197.52695702482,6727.556896143838,5.866794989877082,1.547545875020806,47,110,310,1200,2500,3700,4300,4800,7100,9200,9200
POST,/cart [add],2864,824,110,841.3704363230261,3.806677006650716,8691.703998978483,13167.576117318436,3.9750416018471646,1.1436572206431785,110,220,740,1800,3200,4400,5300,6100,8100,8700,8700
POST,/cart/checkout,2855,839,96,802.9521864670076,2.568765019532293,10374.277719005477,6187.156917688266,3.9625502001653823,1.164476223446149,96,160,500,1600,3200,4500,5200,5700,7900,10000,10000
GET,/product/[id],8569,2310,52,602.1888240453642,1.4423299871850759,4845.392768009333,7098.094176683394,11.893202334576939,3.2061264316574545,52,130,510,1300,2300,3600,4000,4200,4600,4800,4800
POST,/setCurrency,1518,446,91,1463.3314643346096,2.198066998971626,14496.141197014367,8928.765480895916,2.106883083660613,0.6190183500083224,92,180,330,1500,6500,8100,12000,13000,14000,14000,14000
,Aggregated,31414,8934,69,1046.5222405101958,0.9128040110226721,14564.247697999235,8259.791366906475,43.60054360350099,12.39979806944922,69,150,450,1400,4000,6300,9900,12000,14000,15000,15000
