Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,56616,17824,580,1878.9339185128194,0.9490299853496253,15409.161057992605,8815.665324289954,37.741273419126756,11.881808277209892,580,1500,2400,3300,5900,8100,12000,13000,15000,15000,15000
GET,/cart,21251,6251,260,800.3907698059452,1.0112540039699525,11095.79809999559,6283.88748764764,14.166309902322006,4.16703229021763,260,640,960,1200,2600,3700,4800,5700,8900,11000,11000
POST,/cart [add],14197,4194,430,1018.9437154389208,3.355938009917736,12122.199847974116,12530.84384024794,9.463982950603055,2.7957980203443835,430,930,1300,1800,3000,4100,5500,7000,10000,12000,12000
POST,/cart/checkout,14193,4315,400,960.9521009947543,2.29670200496912,9600.710810977034,5429.935813429155,9.46131647657316,2.876458859748692,400,900,1300,1700,2800,4000,5300,6200,8600,9300,9600
GET,/product/[id],42738,12583,260,684.2267712413266,1.3261890271678567,5789.707390998956,6304.335626374655,28.489941772407786,8.388060679540624,260,630,920,1200,2100,3000,3700,4100,5200,5700,5800
POST,/setCurrency,7004,2135,600,1861.9606974728545,2.261568995891139,15337.606429995503,8870.585094231867,4.66899602634527,1.4232305134561896,600,1500,2300,3200,5800,8200,12000,13000,15000,15000,15000
,Aggregated,155999,47302,380,1242.156812233335,0.9490299853496253,15409.161057992605,7815.2958929223905,103.99182054737803,31.53238864051741,380,940,1500,1900,3500,5400,8300,12000,14000,15000,15000
