Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/product/[id],"ConnectionResetError(104, 'Connection reset by peer')",3,2026-07-10T07:51:17Z,2026-07-10T07:51:17Z
GET,/,"ConnectionResetError(104, 'Connection reset by peer')",6,2026-07-10T07:51:17Z,2026-07-10T07:51:17Z
POST,/cart [add],"ConnectionResetError(104, 'Connection reset by peer')",1,2026-07-10T07:51:17Z,2026-07-10T07:51:17Z
GET,/cart,"ConnectionResetError(104, 'Connection reset by peer')",4,2026-07-10T07:51:17Z,2026-07-10T07:51:17Z
