Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,8735,0,180,2393.653279294907,6.384144973708317,10757.680206996156,10512.07922152261,12.126239443998399,0.0,180,4400,6000,6400,7100,7600,8100,8500,9600,11000,11000
GET,/cart,3322,0,120,1436.9849558753542,7.9484010057058185,6932.547456002794,6876.548464780253,4.611719225296243,0.0,120,2000,3600,3800,4400,4700,5200,5400,6400,6900,6900
POST,/cart [add],2177,0,180,2065.2662824452113,13.823993009282276,9187.735055020312,16454.169499310978,3.0221892695574715,0.0,180,2900,5000,5400,6200,6900,7700,8000,8800,9200,9200
POST,/cart/checkout,2150,0,110,1281.9565755683695,9.842765022767708,6707.653207995463,6805.8483720930235,2.984706903788959,0.0,110,1400,3000,3400,4000,4400,4900,5400,6600,6700,6700
GET,/product/[id],6659,0,130,1505.200625870481,6.3096229860093445,7780.456073000096,7914.3034990238775,9.244261987130548,0.0,130,2400,3600,3900,4500,5000,5600,6000,7000,7800,7800
POST,/setCurrency,1063,0,180,2292.6086832953806,10.019965993706137,10525.067492009839,10518.0,1.4756946226640295,0.0,180,370,6100,6600,7400,8000,8800,9200,10000,11000,11000
,Aggregated,24106,0,160,1883.1282979519228,6.3096229860093445,10757.680206996156,9499.800381647723,33.46481145243565,0.0,160,2400,4000,4600,6200,7000,7700,8100,9400,11000,11000
