Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,30273,2847,2100,2524.48019164677,1.3617929653264582,12773.64392700838,10004.053579096884,16.817150515689793,1.581555429530236,2100,2700,3100,3600,6000,6700,7100,7800,12000,12000,13000
GET,/cart,11417,993,550,731.4743549282316,1.4614129904657602,5685.750931035727,6954.231409301919,6.342331696152689,0.5516278684662889,550,750,950,1100,1600,2100,2600,3000,4900,5600,5700
POST,/cart [add],7562,633,810,1039.8796291337972,3.6788249853998423,7177.157572994474,15522.073657762498,4.200815650898365,0.35164193427911467,810,1100,1400,1600,2200,2700,3200,3900,6400,7200,7200
POST,/cart/checkout,7524,663,720,967.2893805813189,2.6449160068295896,6850.900554971304,6605.303296119086,4.179706024511941,0.3683074287947125,720,1000,1300,1500,2200,2700,3100,3400,5700,6900,6900
GET,/product/[id],23183,1932,580,742.9378844173447,1.4449369627982378,4731.934531009756,7681.872622180046,12.878538645170167,1.0732578468045018,580,800,990,1200,1600,2100,2600,2900,4000,4600,4700
POST,/setCurrency,3892,339,2200,2547.6844035884915,2.902364998590201,11582.197842013557,10044.020041109969,2.162070155156895,0.18832008802625572,2200,2700,3200,3600,6000,6600,7000,7400,11000,12000,12000
,Aggregated,83851,7407,970,1515.2520933579262,1.3617929653264582,12773.64392700838,9141.281272733779,46.58061268757985,4.114710595901109,970,1600,2100,2400,3300,5600,6700,7000,11000,12000,13000
