Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,58297,19223,730,1872.5276279324398,0.9220100182574242,14758.975595002994,8734.467914300907,38.85890633009389,12.813433905404992,730,1900,2700,3100,4700,7900,12000,13000,14000,14000,15000
GET,/cart,21587,6713,250,656.3318368927402,1.013828004943207,10017.530176002765,6157.223699448742,14.38920031815937,4.474670020651496,250,530,720,880,1800,3300,4600,5500,8400,9700,10000
POST,/cart [add],14608,4462,420,863.0433458113414,3.1000110029708594,10614.703322993591,12336.296276013143,9.73722324768018,2.974225775681063,420,810,1100,1300,2300,3800,5200,6200,9200,11000,11000
POST,/cart/checkout,14594,4447,480,882.667460611855,1.8756159988697618,12011.379964009393,5383.312868302042,9.72789129768925,2.964227257833637,480,810,1100,1300,2300,3900,5300,6300,8700,10000,12000
GET,/product/[id],43635,13542,250,557.2682744437825,1.1168739874847233,5240.963013988221,6216.305397043658,29.085688418162974,9.026661912656422,250,520,710,870,1600,2300,3300,4100,4800,5100,5200
POST,/setCurrency,7246,2338,750,1894.8649045876737,1.9244200084358454,14486.485186003847,8774.36033673751,4.829950688163375,1.5584356484855055,750,1900,2700,3100,4800,7900,13000,13000,14000,14000,14000
,Aggregated,159967,50725,390,1168.1569127279859,0.9220100182574242,14758.975595002994,7724.777291566385,106.62886029994904,33.81165452071311,390,850,1400,1900,3300,4700,8100,12000,14000,14000,15000
