Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,41901,0,2900,2973.167686386725,8.124215004500002,10804.006210993975,10513.01529796425,23.2659132463279,0.0,2900,3700,4200,4600,5600,6200,6900,7400,8800,10000,11000
GET,/cart,15855,0,1800,1903.3436203961883,9.499373991275206,6286.857459985185,6708.201135288553,8.80363367271733,0.0,1800,2500,2900,3100,3600,4100,4500,4800,5600,6000,6300
POST,/cart [add],10575,0,2700,2701.3822790568875,10.267515986924991,8689.48039400857,16284.317068557919,5.871865410847415,0.0,2700,3500,4000,4300,4900,5400,6000,6500,7500,8400,8700
POST,/cart/checkout,10525,0,1600,1759.0583684033782,10.606088006170467,6491.538318019593,6627.441425178147,5.844102453822132,0.0,1600,2200,2600,2800,3400,3900,4300,4700,5600,6100,6500
GET,/product/[id],31955,0,1900,2009.769772662502,5.968651996226981,7237.32982200454,7738.774401502113,17.74330583485855,0.0,1900,2600,3000,3200,3800,4200,4600,4900,5800,6500,7200
POST,/setCurrency,5295,0,3000,3151.304083040489,11.942447017645463,11295.760706998408,10518.0,2.9400971489775003,0.0,3000,3900,4500,4800,5900,6700,7600,8000,10000,11000,11000
,Aggregated,116106,0,2300,2435.238208725378,5.968651996226981,11295.760706998408,9403.564010473188,64.46891776755082,0.0,2300,3100,3500,3800,4600,5500,6400,6900,8400,9900,11000
