Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,29920,2,2200,2605.577271950676,7.628004997968674,8935.470402007923,10511.945554812834,16.617437780631416,0.0011107912954967524,2200,2800,3300,4000,5600,6200,6900,7200,8000,8400,8900
GET,/cart,11314,0,570,733.348269051399,9.546407003654167,4352.122075011721,6786.235460491426,6.283746358625128,0.0,570,790,980,1100,1500,1900,2500,2800,3400,4300,4400
POST,/cart [add],7626,0,850,1052.1160769703706,14.590855018468574,4900.30601399485,16362.749016522423,4.2354472097291165,0.0,850,1200,1400,1600,2100,2600,3200,3500,4200,4900,4900
POST,/cart/checkout,7593,1,780,1007.9416837099693,11.360248987330124,5239.660096995067,6706.098775187673,4.21711915335342,0.0005553956477483762,780,1100,1400,1600,2100,2700,3300,3600,4400,5200,5200
GET,/product/[id],22903,0,610,767.0049151328433,7.135054998798296,4261.695219989633,7873.734008645156,12.72022652038106,0.0,610,850,1000,1200,1500,2000,2600,2800,3600,4000,4300
POST,/setCurrency,3622,0,2200,2634.9737709244696,11.331735993735492,8203.363861015532,10518.0,2.0116430361446187,0.0,2200,2800,3300,4100,5600,6200,6900,7100,8000,8200,8200
,Aggregated,82978,3,1100,1555.1507781553544,7.135054998798296,8935.470402007923,9465.484068066235,46.085620058864755,0.0016661869432451285,1100,1600,2100,2400,3400,5300,6200,6700,7600,8300,8900
