Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/product/[id],"ConnectionResetError(104, 'Connection reset by peer')",17,2026-07-09T17:54:24Z,2026-07-09T17:54:24Z
GET,/,"ConnectionResetError(104, 'Connection reset by peer')",21,2026-07-09T17:54:24Z,2026-07-09T17:54:24Z
POST,/cart [add],"ConnectionResetError(104, 'Connection reset by peer')",2,2026-07-09T17:54:24Z,2026-07-09T17:54:24Z
GET,/cart,"ConnectionResetError(104, 'Connection reset by peer')",6,2026-07-09T17:54:24Z,2026-07-09T17:54:24Z
